"","RPpos_933","RPpos_957","eWAT_RPneg_963","RPpos_975","RPpos_981","RPpos_937","RPpos_943","RPpos_947","RPpos_959","RPpos_967","RPpos_979","RPpos_927","RPpos_969","RPpos_973","RPpos_983","RPpos_929","RPpos_965","RPpos_971","RPpos_977","RPpos_985"
"Label","KO_day","KO_day","KO_day","KO_day","KO_day","KO_night","KO_night","KO_night","KO_night","KO_night","KO_night","WT_day","WT_day","WT_day","WT_day","WT_night","WT_night","WT_night","WT_night","WT_night"
"_493.987_5.051_Rppos","-1.70436276"," 0.05091124"," 1.29986781"," 1.02621464","-0.03914580","-0.67758647"," 0.27034588","-0.88479712","-0.08098674","-0.33067817"," 1.13735820","-0.67123494","-1.15907072"," 1.19135086"," 0.29190183","-0.70723523"," 1.30102764","-1.92606069"," 1.05411381"," 0.55806672"
"_93.0549_1.0106_Rppos"," 0.566649068","-0.404462868","-0.076653430"," 0.735763463"," 0.198207160"," 0.083002653","-0.708897308","-0.553600808","-1.758906254"," 1.180719488","-0.003597804"," 0.738289010","-1.528880176"," 0.694473514"," 1.270020354"," 0.464588891","-0.799933500"," 0.892193868"," 1.164800549","-2.153775870"
"_687.433_5.0217_Rppos","-1.48339586"," 0.02033362"," 1.57948357"," 0.95625779","-0.08535104","-0.42917961"," 0.38676555","-0.77079939","-0.03365982","-0.25060716"," 1.01358010","-0.55033092","-0.78652549"," 0.92714737","-0.40521062","-0.43789727"," 1.17300525","-2.52192912"," 1.00440691"," 0.69390614"
"_495.3029_5.0573_Rppos","-1.62320030","-0.09653315"," 1.38060925"," 0.86763411","-0.05721762","-0.45598083"," 0.38931208","-0.64914648","-0.01842167","-0.27697958"," 0.95600308","-0.50266577","-0.93061844"," 1.01206332"," 0.17003234","-0.39639836"," 1.10115558","-2.61656544"," 0.93681194"," 0.81010594"
"_158.1153_1.311_Rppos"," 0.246357561"," 0.066682760"," 0.419238836","-1.583280561"," 1.835605365"," 0.811241954","-0.003713658","-1.472141260"," 0.969942974","-1.151563064"," 0.438836146","-0.171070730"," 0.305755891"," 0.505242422"," 1.245519589"," 0.319048177","-0.931335067","-2.107552310"," 0.463792576","-0.206607601"
"_101.0235_1.8189_Rppos","-0.53488241","-1.22803756","-0.18818667","-0.01150724","-1.23669970","-0.88089911","-0.37333518","-0.12647845","-1.07628852"," 0.36884361"," 0.71005804"," 1.31176666","-0.58689254","-0.90674853"," 1.83217239"," 1.88163692","-0.72171326"," 1.57466043"," 0.32770379","-0.13517264"
"_174.1476_1.3292_Rppos","-1.10677532","-0.26794516"," 0.59144576"," 0.01976427","-1.57647859"," 0.77460678","-0.34272339"," 1.33088648"," 0.24376204"," 0.11943141","-1.16290796"," 1.54077594"," 0.52770103","-0.50232173","-0.30901336"," 1.69266675"," 0.44656473"," 0.76960047","-0.94367397","-1.84536617"
"_159.0261_1.3833_Rppos","-1.09969228","-0.31781878"," 0.03615498"," 0.12829927"," 0.11295784","-0.83579546","-0.33069184","-1.70346779","-0.55315996"," 0.66074475","-0.66507641"," 1.00591111"," 1.48104819"," 2.66908160","-1.07616060"," 0.09300084"," 0.04699323"," 0.17147101"," 0.86953110","-0.69333080"
"_478.9773_5.0473_Rppos","-2.14733241"," 0.05803587"," 1.14448958"," 1.11479488","-0.12572699","-0.72859779"," 0.11434791","-1.07111986","-0.19816033","-0.48385109"," 1.19325236","-0.91104691","-1.37620104"," 1.24306972"," 0.22847190","-0.66169654"," 1.37176274","-0.44491389"," 1.13846876"," 0.54195313"
"_153.0637_2.1719_Rppos","-0.26968256","-0.50872891","-0.06169303"," 0.83748760"," 0.85552652","-0.77952524"," 0.62917863","-0.49738871","-0.51472744"," 1.19691934","-0.08062506","-0.23420013"," 1.75330415"," 0.71211929"," 1.52794684"," 0.68783862","-0.81278682","-1.18394580","-2.11128924","-1.14572801"
"_479.3107_5.0435_Rppos","-1.39104751"," 0.09377545"," 1.30394074"," 1.02519798","-0.02572543","-0.59979569"," 0.28931548","-0.73601200","-0.13266122","-0.29406673"," 1.08707026","-0.64155779","-1.10528944"," 1.08979906"," 0.21323755","-0.48057242"," 1.22373223","-2.47545510"," 1.00142111"," 0.55469346"
"_465.9541_5.0235_Rppos","-1.49248566"," 0.12638023"," 1.55503546"," 0.97023931"," 0.09163459","-0.35068089"," 0.24579352","-0.67948492","-0.03404137","-0.18491788"," 0.97550465","-0.49093679","-1.09455108"," 1.04254353","-0.40952921","-0.43178399"," 1.14971389","-2.50477917"," 1.01414306"," 0.50220272"
"_466.2859_5.0218_Rppos","-1.62711321"," 0.03999980"," 1.81124713"," 0.94972340","-0.03807548","-0.46572360"," 0.11686896","-0.69630843","-0.17494776","-0.31320034"," 0.96497664","-0.58781962","-1.01350969"," 1.05228140"," 0.46618739","-0.53261806"," 1.11769993","-2.27658646"," 0.95709131"," 0.24982668"
"_464.6362_5.0259_Rppos","-1.42039825"," 0.13530607"," 1.32664080"," 0.94089426"," 0.03996804","-0.46230690"," 0.24513298","-0.68140320","-0.13288481","-0.19469229"," 1.01771306","-0.51967074","-0.95509324"," 0.99171621"," 0.22700604","-0.42031060"," 1.14497697","-2.75774344"," 0.94943093"," 0.52571811"
"_660.4869_7.1681_Rppos","-0.64272792"," 0.47313854"," 1.40265002","-1.30386698"," 0.58342817"," 0.06059105","-0.69242913"," 2.02652557","-0.48520631"," 0.30843406","-0.69167288","-0.70580021","-0.19675650","-0.21662452","-0.17666588"," 2.58130339","-0.50526669","-0.18842111","-0.98537973","-0.64525293"
"Ormetoprim_275.1593_4.2834_Rppos","-0.68410881","-1.17450681"," 0.87925246","-1.02272746","-1.05380641"," 0.03661714"," 2.04386409","-0.41228496"," 1.00005055","-0.28745928","-0.03350219","-0.27674339"," 0.06139555"," 0.11568632","-0.53760173","-0.29827555","-1.32190203"," 1.75155373","-0.56872159"," 1.78322036"
"_449.3293_7.1064_Rppos","-0.20336565"," 0.67122079"," 1.48155213","-0.54954999"," 0.74816910"," 0.16448480","-0.85085732"," 1.84969071","-1.24028280"," 0.41518967","-0.15322837","-0.93900526","-0.94089426"," 0.26291478","-0.36050498"," 2.23456059"," 0.01822157","-0.49206030","-0.83038996","-1.28586523"
"_665.4208_5.0078_Rppos","-1.46453128"," 0.01731096"," 1.46565965"," 0.86854447","-0.04066319","-0.42353035","-0.06557160","-0.72868960"," 0.00993877","-0.25321047"," 0.97120642","-0.21504502","-0.46452083"," 0.89858219"," 0.12132651","-0.50580983"," 1.12076551","-2.88970193"," 0.92510936"," 0.65283027"
