,933,957,963,975,981,937,943,947,959,967,979,927,969,973,983,929,965,971,977,985
Label,KO_day,KO_day,KO_day,KO_day,KO_day,KO_night,KO_night,KO_night,KO_night,KO_night,KO_night,WT_day,WT_day,WT_day,WT_day,WT_night,WT_night,WT_night,WT_night,WT_night
sn/348.0887/8.1699/10-Hydroxydihydrosanguinarine,0.02346441,-0.3136611,-2.2241464,-1.03284836,1.07894973,-0.45354226,0.63431761,1.35238737,1.06271772,1.49864439,1.12478601,-0.03064109,0.16821594,-1.24267076,-1.33980216,0.27359,-0.61285911,0.74088823,-0.2366569,-0.47113326
sn/445.0551/1.6465/CDP-ethanolamine,-0.3687422,2.0913763,1.9174697,0.4123488,1.1791898,-0.1047251,-0.5921752,-0.6572707,0.5383823,-0.9127215,-0.698182,-0.4380684,0.7650058,0.2775489,1.0295424,-1.5460417,-0.1693691,-1.077167,-0.8350199,-0.8113814
sn/432.0917/1.626/,0.23299218,1.25889998,1.82711798,0.11653619,0.3449074,0.72310231,-0.05432266,0.04373386,0.32775039,-0.30767427,-0.01614983,-0.19740697,1.37841578,0.7910163,0.48913268,-1.625856,-1.39861063,-0.6805755,-1.65970417,-1.59330502
sn/647.0664/1.772/,0.24738667,1.18601039,0.6407863,-1.79129688,-0.56218777,-0.02853064,-2.30688062,-0.03448571,0.06763319,-0.65823672,-1.18708892,1.11972634,1.16931203,1.0873161,1.40621695,0.41881075,0.08317984,-0.50508852,-0.44616911,0.09358632
"sn/572.0816/5.07/GDP-3, 6-dideoxy-D-galactose",-1.0720953,-0.5647043,-0.5383004,-0.4934331,-0.9962524,-1.007628,-0.8886337,-0.7865214,-1.1639308,-0.935946,-1.0477876,0.7976648,1.0675477,1.0850112,1.4127621,1.0623374,1.1268481,0.8698459,1.0192149,1.0540009
sn/349.0071/11.6388/,-0.60706052,-1.02010721,-1.7639682,-0.18959328,-0.10777315,-0.06874669,0.41037728,0.07083661,-0.11279015,1.6804939,0.78066046,-1.81967004,-0.16480762,-0.95770842,-0.92668673,0.44495873,0.37353055,1.49872565,1.37346783,1.10586103
sn/473.1473/9.2017/,-0.4387914,1.0519665,-0.5704873,1.5652763,-0.3739928,-0.6527715,0.3826859,0.3713618,-0.1489182,-0.338285,-0.0772467,1.4434321,1.7418578,0.8750743,0.9588546,-1.2693405,-1.5716372,-0.6710399,-1.0975359,-1.1804629
"sn/249.0709/10.8573/4,4'-Methylenediphenyl diisocyanate",0.1621361,0.8375288,0.5958778,0.504109,-0.5068567,0.3189645,0.5987696,1.3356869,0.4817279,-0.4450061,0.6388318,0.4857322,0.7871519,0.6865997,0.9853994,-1.8965497,-1.8053274,-1.1345865,-1.7751595,-0.8550297
"sn/241.0133/1.2527/D-myo-Inositol 1,2-cyclic phosphate",-0.40330004,0.36388701,2.48315791,-0.31358799,-0.25240151,0.07503327,-0.78583824,-0.84224269,-0.74913666,-0.97704242,-1.25194897,1.23314624,0.96404363,1.04557012,0.92801884,-1.04874525,0.7995413,-0.78995803,0.49544637,-0.9736429
sn/154.0629/2.4102/L-Histidine,0.704372636,0.258856477,0.406399004,0.284717557,0.323103464,0.336703912,-0.634441493,0.697747666,1.156164606,0.305541614,-0.030193177,-1.251678076,-2.97499116,0.980717946,1.388066964,0.085618418,-0.390933879,-0.185753405,-1.466966526,0.006947451
sn/260.1155/9.4544/Heterodendrin,-0.9614522,-0.2006318,-0.2877147,1.7338096,1.4264082,-0.8852771,0.9157924,0.2159268,0.5690699,0.8008795,0.9943987,0.9359916,-0.3750779,-0.5317316,0.4749145,-1.6678446,-0.6948689,-0.5618477,0.1398262,-2.0405709
sn/368.0784/3.3724/,-0.3976139,0.9403702,-1.1242706,0.2888069,0.7971206,-1.5508126,1.1485048,1.2962007,-0.7469393,1.5999123,1.6871135,-0.1348571,-0.3826411,-0.4890956,-0.1584562,0.7370174,-1.2712331,-1.1797849,-0.3487625,-0.7105795
sn/222.9754/1.5113/,0.89272675,-0.36615781,0.74025534,-2.22899821,-0.08909684,1.95114688,1.25936288,0.86571982,0.48539819,-0.05958913,0.93186101,-1.44480996,-1.29342642,-0.77819095,-0.7623541,-0.06022041,0.18894595,-0.26904603,0.36107794,-0.32460489
sn/112.0411/1.8983/1-Pyrroline-2-carboxylate,1.17777,0.8373913,1.8431455,-0.2995362,1.1514803,1.4185315,-0.1169085,0.4380922,0.6421999,-0.0994042,-0.1791971,-0.6775225,0.3166749,-0.0908452,0.2364963,-1.3108309,-1.2345852,-1.423664,-1.511117,-1.1181713
sn/302.057/1.5186/,1.27932367,1.08345388,1.33202347,-2.23245026,-0.5684687,1.09957516,-0.855144,0.75473492,0.53648773,0.43452348,-0.10086453,-1.74278058,-0.39448905,-0.61217949,-0.31524439,0.60300489,1.03588722,-0.40845491,-0.01203593,-0.91690257
sn/613.1613/3.6009/,0.401897246,1.009969741,0.469146801,0.817527273,1.200892553,-0.511470637,0.353825122,0.712535889,0.770831155,0.882915258,0.998404254,-0.008391592,0.340036257,-0.179992076,-0.172034987,-0.745311493,-2.116648664,-1.023231981,-0.952549288,-2.248350831
sn/342.0861/6.0521/DIBOA-glucoside,1.06205761,0.20312941,-0.75409053,0.50783251,0.78766738,2.67093468,-0.39172584,-0.98463951,0.23977481,-1.26557196,-0.53447727,-0.50714427,-0.79834816,-2.03276023,0.27915447,0.9568971,0.18065471,-0.0217418,0.04660168,0.3557952
sn/298.0246/1.4091/1-Methylseleno-N-acetyl-D-galactosamine,-0.91090266,0.29560087,1.13215869,0.24967296,-1.0649228,-0.19027848,-0.53828526,-0.29424045,-1.52567436,-1.99676322,-0.8498438,-0.01396187,-0.5494092,0.03721321,0.39375401,0.70703077,1.72708223,0.82415902,1.6290978,0.93851256
sn/341.0864/7.3982/Caffeic acid 3-glucoside,-1.0406157,-1.1099814,-0.9412178,-1.3187231,-1.1941139,-0.6649913,0.1146747,-0.6272065,-0.7973294,-1.2169352,-0.1997394,1.1356929,0.6658691,1.1485698,0.7357707,0.550639,1.3280436,0.9746496,1.2326209,1.2243233
sn/364.0936/1.6085/Amoxicillin,-0.49911959,2.2177799,-0.83680433,-0.62657682,0.79550439,-1.25120709,-0.81118435,-1.23749719,0.34065898,-1.41006963,-0.10396148,1.35578469,0.78392685,-0.22627491,0.59355619,0.69552879,1.44346531,-0.81794685,-0.37848072,-0.02708213
sn/282.0856/7.0038/GUANOSINE_level3,-0.64535578,-1.4903773,0.74232586,-1.65845808,-0.52194507,-0.239472,-0.23098396,0.44439121,-0.98760605,0.01490708,0.39377443,1.57708753,-1.08075195,-0.59022417,-1.10718312,1.43330423,0.91823751,0.7342621,1.30830979,0.98575773
sn/245.0448/1.6965/Isopimpinellin,-0.70314547,-0.74866419,-0.02299213,-0.79884284,0.62996814,0.47066533,1.66860139,0.64193597,0.61141113,0.52584829,-2.07642939,-0.99737225,-0.86829034,-1.26884372,-0.69223221,0.1296214,0.37595035,1.00151217,1.86091884,0.26037953
sn/271.056/1.8388/Naringenin,0.6867969,0.5238787,0.1362917,0.8784462,0.8670227,0.8534022,0.9991575,0.8604045,1.2163388,1.0519177,1.3046758,-1.1943182,-0.9628337,-0.8065514,-0.9096212,-1.3100767,-1.0427643,-1.1297133,-0.9981544,-1.0242996
